,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
2510,기아,K5,가솔린 2.0 스마트 스페셜,4500000,10년11월(11년형),"206,137km",가솔린,오토,정보없음,중형,"1,998cc",은색,없음,없음,없음,사고있음,없음,없음,있음,4회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2511,기아,더 뉴 K5,프레스티지,12900000,15년03월(15년형),"70,150km",가솔린,오토,정보없음,중형,0cc,흰색,정보없음,4 건,없음,사고있음,없음,없음,없음,2회,보통,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
2512,기아,K5,2.0 LPI 스마트,3900000,10년10월(11년형),"198,219km",LPG,오토,정보없음,중형,0cc,은색,정보없음,없음,없음,사고있음,없음,없음,있음,5회,많음,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2513,기아,더 뉴 K5,디럭스,7900000,14년12월(15년형),"122,000km",LPG,오토,정보없음,중형,"1,999cc",은색,없음,없음,없음,사고없음,없음,없음,있음,5회,많음,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1
2514,기아,K5 2세대,1.7 디젤 MX 노블레스,12800000,15년10월(16년형),"58,744km",디젤,오토,15.9Km,중형,"1,685cc",은색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
2515,기아,K5,가솔린 2.0 럭셔리,6900000,10년09월(11년형),"150,520km",가솔린,오토,정보없음,중형,"2,000cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2516,기아,더 뉴 K5,LPI 디럭스 기본형,5900000,14년11월(15년형),"177,942km",LPG,오토,정보없음,중형,"1,999cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,1회,많음,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2517,기아,K5,2.0 LPI 프레스티지,8900000,11년09월(12년형),"81,661km",LPG,오토,정보없음,중형,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,없음,4회,짧음,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
2518,기아,더 뉴 K5,트렌디,9900000,13년12월(14년형),"38,000km",가솔린,오토,11.9Km,중형,0cc,흰색,정보없음,없음,1 건,사고있음,없음,없음,없음,2회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2519,기아,K5,2.0 LPI 디럭스,4200000,11년06월(11년형),"193,800km",LPG,오토,정보없음,중형,"2,000cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,2회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2520,기아,K5 하이브리드,500H 프레스티지,8600000,14년06월(14년형),"165,400km",하이브리드(가솔린),오토,16.8Km,중형,"2,000cc",회색,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1
2521,기아,K5 2세대,렌터카 2.0 LPI SX 럭셔리,12700000,16년12월(16년형),"36,800km",LPG,오토,정보없음,중형,"2,000cc",검정색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
2522,기아,K5,2.0 LPI 프레스티지,9400000,11년04월(11년형),"25,500km",LPG,오토,정보없음,중형,"2,000cc",회색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2523,기아,K5,가솔린 2.0 프레스티지,7990000,11년10월(12년형),"68,100km",가솔린,오토,정보없음,중형,"2,000cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1
2524,기아,K5,2.0 LPI 스마트,5800000,11년12월(12년형),"147,800km",LPG,오토,정보없음,중형,"2,000cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2525,기아,더 뉴 K5,디럭스,7500000,13년07월(14년형),"136,254km",LPG,오토,정보없음,중형,"1,999cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2526,기아,K5 2세대,2.0 가솔린 SX 프레스티지,15900000,17년05월(17년형),"78,428km",가솔린,오토,정보없음,중형,"2,000cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,1회,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
2527,기아,더 뉴 K5,LPI 디럭스 기본형,8700000,13년06월(14년형),"106,671km",LPG,오토,정보없음,중형,"1,999cc",진주색,없음,없음,없음,사고없음,없음,없음,있음,4회,보통,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2528,기아,더 뉴 K5,프레스티지,7900000,13년07월(14년형),"151,746km",가솔린,오토,정보없음,중형,0cc,흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,많음,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1
2529,기아,K5 2세대,2.0 가솔린 MX 프레스티지,12900000,15년11월(16년형),"56,607km",가솔린,오토,12.1Km,중형,"1,998cc",다크그레이,없음,없음,1 건,사고있음,없음,없음,있음,2회,짧음,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
2530,기아,K5,가솔린 2.0 프레스티지,5900000,11년08월(12년형),"162,511km",가솔린,오토,정보없음,중형,"1,998cc",은색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1
2531,기아,K5 2세대,렌터카 2.0 LPI MX 프레스티지,12000000,16년12월(17년형),"76,148km",LPG,오토,9.4Km,중형,"1,999cc",검정색,없음,없음,없음,사고없음,없음,없음,없음,1회,많음,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1
2532,기아,더 뉴 K5,LPI 디럭스 기본형,7900000,13년10월(14년형),"130,000km",LPG,오토,정보없음,중형,"1,999cc",검정,없음,없음,1 건,사고있음,없음,없음,있음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2533,기아,더 뉴 K5,LPI 디럭스 기본형,8500000,14년10월(15년형),"140,000km",LPG,오토,정보없음,중형,"1,999cc",흰색,없음,없음,1 건,사고있음,없음,없음,있음,2회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2534,기아,더 뉴 K5,LPI 디럭스 기본형,8900000,15년07월(15년형),"142,000km",LPG,오토,정보없음,중형,"1,999cc",흰색,없음,없음,1 건,사고없음,없음,없음,있음,2회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2535,기아,더 뉴 K5,LPI 디럭스 기본형,8500000,14년10월(15년형),"110,000km",LPG,오토,정보없음,중형,"1,999cc",흰색,없음,없음,1 건,사고있음,없음,없음,있음,2회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2536,기아,K5 2세대,1.7 디젤 SX 럭셔리,9400000,16년07월(17년형),"118,558km",디젤,오토,정보없음,중형,"1,685cc",진주색,없음,없음,없음,사고있음,없음,없음,있음,1회,많음,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
2537,기아,K5 2세대,2.0 가솔린 MX 프레스티지,14900000,16년11월(17년형),"44,060km",가솔린,오토,12.1Km,중형,"1,999cc",검정색,없음,없음,없음,사고없음,없음,없음,있음,2회,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
2538,기아,K5 2세대,2.0 가솔린 SX 프레스티지,16990000,16년07월(17년형),"21,282km",가솔린,오토,정보없음,중형,"1,999cc",검정색,없음,없음,없음,사고없음,없음,없음,있음,1회,짧음,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
2539,기아,K5,2.0 LPI 디럭스,5500000,12년03월(13년형),"175,645km",LPG,오토,정보없음,중형,"2,000cc",은색,없음,없음,없음,사고있음,없음,없음,있음,3회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2540,기아,더 뉴 K5,트렌디,13000000,15년06월(15년형),"39,730km",가솔린,오토,정보없음,중형,"1,999cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2541,기아,K5,2.0 LPI 디럭스,7900000,12년03월(13년형),"90,000km",LPG,오토,정보없음,중형,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,있음,4회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
