,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
0,기아,올 뉴 K7 하이브리드,프레스티지 기본형,27400000,17년09월(17년형),"37,493km",기타,오토,16.2Km,대형,0cc,검정색,정보없음,없음,없음,사고없음,없음,없음,없음,1회,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
1,기아,더 뉴 K7,2.4 GDI 프레스티지 스페셜,10700000,13년01월(13년형),"91,877km",가솔린,오토,11.3Km,대형,"2,400cc",진주색,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
2,기아,올 뉴 K7 하이브리드,프레스티지 기본형,18800000,17년02월(17년형),"137,414km",하이브리드(가솔린),오토,16.2Km,대형,"2,359cc",회색,없음,없음,없음,사고있음,없음,없음,있음,2회,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
3,기아,올 뉴 K7,2.2 디젤 프레스티지 일반형,21900000,16년06월(16년형),"39,000km",디젤,오토,정보없음,대형,"2,199cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
4,기아,더 뉴 K7,2.4 GDI 프레스티지 스페셜,10900000,13년02월(13년형),"112,290km",가솔린,오토,11.3Km,대형,"2,359cc",검정,없음,없음,없음,사고있음,없음,없음,있음,5회,보통,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,기아,K7,LPI 3.0 럭셔리,10100000,11년04월(12년형),"71,754km",가솔린,오토,정보없음,대형,"2,999cc",은색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
6,기아,더 프레스티지 K7,3.0 GDI 노블레스,8700000,11년04월(12년형),"105,656km",가솔린,오토,정보없음,대형,"2,999cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,4회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,기아,더 프레스티지 K7,3.0 GDI 노블레스,5900000,11년06월(12년형),"186,051km",가솔린,오토,정보없음,대형,"2,999cc",검정,없음,없음,없음,사고있음,없음,없음,있음,5회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,기아,올 뉴 K7,2.4 GDi 리미티드,17500000,17년01월(17년형),"90,000km",가솔린,오토,11.1Km,대형,0cc,검정색,정보없음,없음,1 건,사고있음,없음,없음,있음,1회,많음,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0
9,기아,더 프레스티지 K7,2.4 GDI 럭셔리,6300000,11년09월(12년형),"155,607km",가솔린,오토,정보없음,대형,"2,359cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
10,기아,K7,VG270 럭셔리,5500000,10년01월(10년형),"130,224km",가솔린,오토,정보없음,대형,"2,656cc",은색,없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1
11,기아,올 뉴 K7,3.0 LPI 렌터카 프레스티지,13200000,16년07월(16년형),"148,327km",LPG,오토,정보없음,대형,"3,000cc",회색,없음,없음,없음,사고있음,없음,없음,있음,1회,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
12,기아,올 뉴 K7,3.0 LPi 럭셔리,12300000,16년07월(16년형),"194,226km",LPG,오토,정보없음,중형,"2,999cc",검정색,없음,없음,없음,사고있음,없음,없음,있음,1회,많음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
13,기아,올 뉴 K7,3.0 LPi 렌터카 디럭스,16000000,17년07월(17년형),"95,782km",LPG,오토,7.4Km,대형,"2,999cc",검정,없음,없음,없음,사고없음,없음,없음,없음,1회,많음,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1
14,기아,올 뉴 K7,3.3 GDI 노블레스,21500000,16년03월(16년형),"53,687km",가솔린,오토,정보없음,대형,"3,342cc",회색,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
15,기아,더 뉴 K7,2.4 GDI 프레스티지 스페셜,9300000,12년12월(13년형),"144,000km",가솔린,오토,11.3Km,대형,"2,400cc",검정색,없음,없음,없음,사고있음,없음,없음,있음,4회,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
16,기아,더 뉴 K7,2.4 GDI 프레스티지,17100000,14년09월(15년형),"66,423km",가솔린,오토,11.3Km,대형,"2,399cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,4회,짧음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
17,기아,올 뉴 K7,2.2 디젤 프레스티지 일반형,17200000,16년11월(16년형),"90,000km",디젤,오토,정보없음,대형,"2,199cc",검정,없음,없음,없음,사고없음,없음,없음,있음,1회,많음,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1
18,기아,K7,VG270 럭셔리,5400000,09년12월(10년형),"113,089km",가솔린,오토,정보없음,대형,"2,700cc",검정,없음,없음,없음,사고있음,없음,없음,없음,4회,짧음,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
19,기아,올 뉴 K7,2.4 GDi 리미티드 에디션,18500000,17년01월(17년형),"95,870km",가솔린,오토,11.1Km,대형,"2,400cc",검정색,정보없음,없음,없음,사고없음,없음,없음,있음,1회,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
20,기아,더 뉴 K7,2.4 GDI 프레스티지 스페셜,11300000,12년12월(13년형),"78,636km",가솔린,오토,11.3Km,대형,"2,359cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1
21,기아,올 뉴 K7,2.4 GDi 리미티드,25500000,17년06월(17년형),"39,715km",가솔린,오토,11.1Km,대형,"2,400cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,2회,보통,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
