,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
20,기아,봉고3,1톤 냉동탑차 초장축 표준형 킹캡 럭셔리 듀얼컴프,12500000,17년10월(17년형),"133,947km",디젤,오토,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
21,기아,봉고3,1톤 킹캡 초장축 CRDi 럭셔리,7200000,16년05월(16년형),"180,010km",디젤,수동,정보없음,트럭,"2,497cc",청색,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
22,기아,봉고3,1톤 초장축 더블캡 CRDi DLX GX,3700000,08년08월(09년형),"285,000km",디젤,수동,정보없음,트럭,"2,200cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,5회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,기아,봉고3,1.2톤 냉동탑차 초장축 표준형 표준캡 프레스티지,5300000,10년10월(11년형),"42,970km",디젤,수동,정보없음,트럭,"2,902cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
24,기아,봉고3,1톤 초장축 더블캡 CRDi DLX DLX,8400000,15년06월(15년형),"58,617km",디젤,수동,정보없음,트럭,0cc,흰색,정보없음,없음,1 건,사고있음,없음,없음,없음,2회,짧음,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
25,기아,봉고3,1톤 초장축 더블캡 CRDi DLX GX 스페셜,5700000,13년05월(13년형),"289,273km",디젤,오토,정보없음,트럭,"2,500cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
26,기아,봉고3,1톤 내장탑차Ⅱ 초장축 미닫이 킹캡 럭셔리,7300000,14년12월(14년형),"199,264km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,4회,많음,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
27,기아,봉고3,1.2톤 초장축 킹캡 CRDi GLX,9800000,12년09월(13년형),"65,000km",디젤,수동,정보없음,트럭,"2,200cc",파랑색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,기아,봉고3,1톤 초장축 킹캡 CRDi DLX DLX,2690000,06년10월(07년형),"230,000km",디젤,수동,정보없음,트럭,"2,500cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,기아,봉고3,1톤 내장탑차 킹캡 하이탑,3790000,11년06월(11년형),"200,000km",디젤,수동,정보없음,트럭,"2,500cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,8회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,기아,봉고3,1톤 카고,10290000,16년09월(16년형),"120,000km",디젤,수동,정보없음,트럭,"2,500cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,기아,봉고3,1톤 초장축 표준캡 CRDi,2000000,04년07월(04년형),"230,804km",디젤,수동,정보없음,트럭,"2,497cc",파랑색,없음,없음,없음,사고없음,없음,없음,없음,4회,보통,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,기아,봉고3,1톤 장축 더블캡 CRDi GX,4500000,11년02월(11년형),"204,822km",디젤,수동,정보없음,트럭,0cc,초록색,정보없음,없음,없음,사고있음,없음,없음,없음,5회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,기아,봉고3,1톤 내장탑차 LTD,15800000,18년03월(18년형),"7,359km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,4회,짧음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
34,기아,봉고3,4WD 장축 더블캡 LTD LTD,8300000,12년11월(13년형),"68,523km",디젤,수동,정보없음,트럭,"2,497cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,4회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
