,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
24,기아,모닝,디럭스,4990000,14,91621,가솔린,오토,17.0,경차,998,흰색,0,없음,없음,사고있음,없음,없음,있음,3,많음,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,-0.12540833686165395
26,기아,모닝,스포츠 런 하이,7100000,15,59000,가솔린,오토,16.7,경차,998,진주색,0,없음,없음,사고없음,없음,없음,없음,4,보통,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0.6514720148364918
27,기아,모닝,디럭스 스페셜,3300000,12,91100,가솔린,수동,17.0,경차,998,진주색,0,없음,없음,사고없음,없음,없음,없음,2,보통,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,-0.7476489977004531
29,기아,모닝,디럭스 스페셜,3400000,11,102277,가솔린,오토,17.0,경차,998,흰색,0,없음,없음,사고있음,없음,없음,없음,2,보통,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-0.710830023686323
30,기아,모닝,2인승밴 일반형,3400000,14,50851,가솔린,오토,16.7,경차,998,흰색,0,없음,없음,사고있음,없음,없음,있음,4,보통,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.710830023686323
31,기아,모닝,LX 기본형 블랙프리미엄,1900000,9,100624,가솔린,오토,16.7,경차,0,흰색,0,없음,없음,사고없음,없음,없음,없음,0,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.263114633898275
32,기아,모닝,디럭스 트렌디,5900000,13,44261,가솔린,오토,17.0,경차,0,회색,0,없음,없음,사고없음,없음,없음,없음,2,짧음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20964432666693023
34,기아,모닝,럭셔리,7200000,15,19881,가솔린,오토,16.7,경차,998,흰색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0.6882909888506219
35,기아,모닝,LX 고급형 블랙프리미엄,2100000,10,160000,가솔린,오토,16.7,경차,999,회색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1.1894766858700148
36,기아,모닝,스마트 바이퓨얼,4300000,13,122198,LPG,오토,14.0,경차,998,검정색,0,없음,없음,사고없음,없음,없음,있음,5,많음,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.37945925755915183
37,기아,모닝,스마트,3800000,14,98000,가솔린,오토,16.7,경차,998,흰색,0,없음,없음,사고있음,없음,없음,있음,6,많음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.5635541276298025
40,기아,모닝,럭셔리,7200000,15,70196,가솔린,오토,16.7,경차,998,밀크베이지,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6882909888506219
41,기아,모닝,럭셔리,7800000,15,39000,가솔린,오토,16.7,경차,998,회색,0,없음,없음,사고없음,없음,없음,있음,3,짧음,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0.9092048329354027
42,기아,모닝,SLX 고급형 블랙프리미엄,2800000,9,61963,가솔린,오토,16.7,경차,999,회색,0,없음,없음,사고있음,없음,없음,없음,5,짧음,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.9317438677711037
43,기아,모닝,LX 기본형,1900000,8,71486,가솔린,오토,16.7,경차,999,흰색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,-1.263114633898275
44,기아,모닝,디럭스 트렌디,5900000,13,38453,가솔린,오토,17.0,경차,998,진주색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0.20964432666693023
45,기아,모닝,럭셔리,7300000,15,28328,가솔린,오토,16.7,경차,998,회색,0,없음,없음,사고없음,없음,없음,없음,4,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.725109962864752
46,기아,모닝,럭셔리,6900000,16,27854,가솔린,오토,16.7,경차,998,은색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.5778340668082316
47,기아,모닝,LPI SLX 고급형 블랙프리미엄,3300000,10,112430,LPG,오토,16.7,경차,999,회색,0,없음,없음,사고있음,없음,없음,없음,4,보통,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,-0.7476489977004531
48,기아,모닝,럭셔리,10300000,19,5991,가솔린,오토,15.4,경차,998,검정색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1.8296791832886559
49,기아,모닝,디럭스 트렌디,4300000,14,89488,가솔린,오토,16.7,경차,998,보라색,0,없음,없음,사고있음,없음,없음,없음,2,많음,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,-0.37945925755915183
50,기아,모닝,디럭스 스페셜,4800000,11,30000,가솔린,오토,17.0,경차,998,빨강색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-0.19536438748850118
51,기아,모닝,디럭스 스페셜,3200000,11,74326,가솔린,오토,17.0,경차,998,회색,0,없음,없음,사고있음,없음,없음,있음,4,보통,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-0.7844679717145833
52,기아,모닝,디럭스,6800000,15,47419,가솔린,오토,16.7,경차,998,검정색,0,없음,없음,사고없음,없음,없음,없음,4,보통,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0.5410150927941014
53,기아,모닝,럭셔리,4800000,12,123830,가솔린,오토,16.7,경차,123830,쥐색,0,없음,없음,사고있음,없음,없음,없음,3,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19536438748850118
54,기아,모닝,디럭스,4800000,13,74167,가솔린,오토,17.0,경차,1000,은색,0,없음,없음,사고없음,없음,없음,없음,1,보통,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,-0.19536438748850118
55,기아,모닝,SLX 뷰티 기본형,2400000,9,79969,가솔린,오토,16.7,경차,999,파랑색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-1.0790197638276242
56,기아,모닝,디럭스 트렌디,4950000,13,115000,가솔린,오토,17.0,경차,998,진주색,0,없음,없음,사고없음,없음,없음,없음,2,많음,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,-0.140135926467306
57,기아,모닝,스마트,3600000,12,100000,가솔린,오토,17.0,경차,998,회색,0,없음,없음,사고있음,없음,없음,있음,3,많음,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.6371920756580628
58,기아,모닝,럭셔리 스포츠,5500000,11,54522,가솔린,오토,16.7,경차,0,노랑색,0,없음,1 건,사고있음,없음,없음,없음,7,짧음,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0.06236843061040971
