,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
23,기아,k7,3.0 LPI 렌터카 프레스티지,9800000,12,119000,LPG,오토,11.6,대형,3,검정색,0,없음,없음,사고있음,없음,없음,있음,6,보통,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,-0.7431407394523124
24,기아,k7,LPI 3.0 디럭스,9990000,10,70199,LPG,오토,11.6,대형,2999,은색,0,없음,없음,사고없음,없음,없음,있음,2,짧음,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,-0.720785749800035
25,기아,k7,LPI 3.0 프레스티지,10900000,13,172026,LPG,오토,11.6,대형,2999,은색,0,없음,없음,사고있음,없음,없음,있음,1,많음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.6137171151496532
26,기아,k7,VG270 럭셔리,5500000,11,163984,가솔린,오토,11.6,대형,0,흰색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,-1.249069452635435
27,기아,k7,700h 럭셔리,14300000,14,84918,하이브리드(가솔린),오토,16.0,대형,2359,검정,0,없음,없음,사고없음,없음,없음,없음,5,보통,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,-0.2136804582141611
28,기아,k7,3.0 GDI 노블레스,9200000,11,132080,가솔린,오토,11.6,대형,2999,흰색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,-0.8137354436173992
29,기아,k7,3.0 GDI 프레스티지,9200000,12,109950,가솔린,오토,10.4,대형,2999,흰색,0,없음,없음,사고있음,없음,없음,없음,0,보통,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,-0.8137354436173992
30,기아,k7,3.0 LPI 렌터카 럭셔리,19700000,18,40580,LPG,오토,11.6,대형,2999,검정,0,없음,없음,사고있음,없음,없음,있음,0,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42167187927162053
31,기아,k7,LPI 3.0 디럭스,5500000,11,132588,LPG,오토,11.6,대형,2359,회색,0,없음,없음,사고있음,없음,없음,있음,2,보통,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1.249069452635435
32,기아,k7,2.4 GDi 리미티드 에디션,18700000,16,89000,가솔린,오토,11.1,대형,0,검정색,0,없음,1 건,사고없음,없음,없음,있음,2,많음,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0.3040140389964758
33,기아,k7,2.4 GDI 럭셔리,7900000,12,133936,가솔린,오토,11.6,대형,2359,검정색,0,없음,없음,사고있음,없음,없음,없음,2,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,-0.9666906359750874
34,기아,k7,2.4 GDI 프레스티지,12700000,15,145482,가솔린,오토,11.3,대형,2359,진주색,0,없음,없음,사고있음,없음,없음,없음,0,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,-0.4019330026543927
35,기아,k7,2.4 GDI 프레스티지,11500000,12,56837,가솔린,오토,11.3,대형,2359,검정색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.5431224109845664
36,기아,k7,2.4 GDI 프레스티지,8300000,12,138033,가솔린,오토,11.6,대형,2359,은색,0,없음,없음,사고있음,없음,없음,없음,3,보통,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.9196274998650296
37,기아,k7,700h 럭셔리,14200000,14,78860,하이브리드(가솔린),오토,16.0,대형,2359,회색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,-0.22544624224167556
38,기아,k7,3.0 GDI 프레스티지,9300000,13,133971,가솔린,오토,10.4,대형,0,회색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8019696595898849
39,기아,k7,VG270 럭셔리,4500000,10,220478,가솔린,오토,11.6,대형,2656,검정색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,-1.3667272929105796
40,기아,k7,3.0 LPI 렌터카 럭셔리 럭셔리,17700000,16,69602,LPG,오토,11.6,대형,2999,검정색,0,없음,없음,사고있음,없음,없음,있음,1,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.18635619872133105
41,기아,k7,700h 프레스티지,11900000,14,137179,기타,오토,16.0,대형,0,검정색,0,없음,1 건,사고없음,없음,없음,없음,0,많음,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,-0.49605927487450846
42,기아,k7,3.3 GDI 노블레스 스페셜,20700000,16,73575,가솔린,오토,9.7,대형,3342,검정색,0,없음,없음,사고없음,없음,없음,있음,0,많음,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0.5393297195467652
43,기아,k7,2.4 GDI 프레스티지 스페셜,12900000,13,109328,가솔린,오토,11.3,대형,2359,흰색,0,없음,없음,사고없음,없음,없음,없음,5,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,-0.37840143459936376
44,기아,k7,3.0 LPi 장애인용 노블레스,24500000,17,27313,LPG,오토,7.1,대형,2999,회색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0.9864295125923153
45,기아,k7,2.4 GDI 프레스티지,9990000,14,104827,가솔린,오토,11.3,대형,2400,흰색,0,없음,없음,사고없음,없음,없음,있음,3,보통,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.720785749800035
46,기아,k7,3.0 LPI 렌터카 럭셔리,20500000,17,65428,LPG,오토,11.6,대형,3000,검정색,0,없음,없음,사고없음,없음,없음,없음,3,많음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5157981514917364
47,기아,k7,3.0 GDI 프레스티지,15990000,13,82188,가솔린,오토,11.6,대형,2998,흰색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.014838708149166472
48,기아,k7,2.4 GDI 프레스티지 일반형,16500000,16,127842,가솔린,오토,11.6,대형,2400,흰색,0,없음,없음,사고있음,없음,없음,있음,2,많음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.04516679039115735
50,기아,k7,2.4 GDI 프레스티지,7200000,12,148476,가솔린,오토,11.3,대형,2399,흰색,0,없음,없음,사고있음,없음,없음,없음,1,많음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-1.0490511241676888
51,기아,k7,3.3 GDI 노블레스,16490000,16,71659,가솔린,오토,11.6,대형,3300,검정색,0,없음,없음,사고있음,없음,없음,있음,1,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0.0439902119884059
52,기아,k7,2.4 GDI 프레스티지,6900000,11,110056,가솔린,오토,11.6,대형,0,흰색,0,없음,1 건,사고있음,없음,없음,없음,2,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0843484762502322
53,기아,k7,VG240 디럭스 스페셜,6700000,10,120530,가솔린,오토,11.6,대형,0,진주색,0,없음,없음,사고있음,없음,없음,없음,3,보통,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,-1.1078800443052612
54,기아,k7,2.4 GDI 프레스티지 스페셜,8700000,13,186092,가솔린,오토,11.3,대형,2359,검정,0,없음,없음,사고있음,없음,없음,없음,4,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8725643637549717
55,기아,k7,2.4 GDi 리미티드,20900000,16,58072,가솔린,오토,11.1,대형,2400,검정색,0,없음,없음,사고있음,없음,없음,없음,1,보통,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.5628612876017942
56,기아,k7,3.0 LPI 렌터카 럭셔리,16500000,16,88057,LPG,오토,11.6,대형,2999,검정,0,없음,없음,사고없음,없음,없음,있음,1,많음,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0.04516679039115735
57,기아,k7,2.2 디젤 프레스티지 일반형,17000000,17,107161,디젤,오토,11.6,대형,2199,검정,0,없음,없음,사고있음,없음,없음,있음,1,많음,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0.10399571052872972
58,기아,k7,LPI 3.0 럭셔리,3900000,10,220000,LPG,오토,11.6,대형,2700,검정,0,없음,없음,사고있음,없음,없음,있음,5,많음,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,-1.4373219970756665
59,기아,k7,2.4 GDI 프레스티지 스페셜,9500000,14,134254,가솔린,오토,11.3,대형,2359,검정색,0,없음,없음,사고있음,없음,없음,없음,3,많음,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,-0.7784380915348559
60,기아,k7,VG350 노블레스 프리미엄,3900000,10,138042,가솔린,오토,11.6,대형,0,은색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4373219970756665
61,기아,k7,2.4 GDI 프레스티지,14800000,14,76715,가솔린,오토,11.3,대형,2359,검정색,0,없음,없음,사고있음,없음,없음,없음,1,보통,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.15485153807658872
62,기아,k7,2.4 GDI 프레스티지,5900000,12,202998,가솔린,오토,11.6,대형,0,은색,0,없음,없음,사고있음,없음,없음,없음,3,많음,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,-1.202006316525377
63,기아,k7,2.4 GDI 프레스티지 일반형,16800000,17,102501,가솔린,오토,11.6,대형,2400,검정색,0,없음,없음,사고없음,없음,없음,있음,2,많음,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0.08046414247370078
64,기아,k7,2.4 GDI 프레스티지 일반형,19700000,16,23844,가솔린,오토,11.6,대형,0,검정,0,없음,없음,사고없음,없음,없음,있음,1,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42167187927162053
65,기아,k7,3.0 LPI 렌터카 프레스티지,20500000,16,68000,LPG,오토,11.6,대형,3000,검정색,0,없음,없음,사고있음,없음,없음,있음,2,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0.5157981514917364
66,기아,k7,2.4 GDI 프레스티지,10000000,12,65683,가솔린,오토,11.6,대형,2359,진주,0,없음,없음,사고없음,없음,없음,없음,1,짧음,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7196091713972835
67,기아,k7,LPI VG270 럭셔리,4200000,10,200500,LPG,오토,11.6,대형,2700,다크그레이,0,없음,없음,사고있음,없음,없음,있음,6,많음,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,-1.402024644993123
68,기아,k7,3.0 GDI 프레스티지,10500000,14,133972,가솔린,오토,11.6,대형,2999,검정색,0,없음,없음,사고있음,없음,없음,없음,0,많음,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,-0.6607802512597111
69,기아,k7,LPI 3.0 디럭스,7500000,12,173349,LPG,오토,11.6,대형,3000,검정색,0,없음,없음,사고있음,없음,없음,있음,6,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,-1.0137537720851453
70,기아,k7,2.4 GDI 프레스티지 스페셜,8300000,14,190000,가솔린,오토,11.3,대형,2400,검정색,0,없음,없음,사고없음,없음,없음,있음,3,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,-0.9196274998650296
71,기아,k7,2.4 GDI 프레스티지 일반형,18700000,16,70811,가솔린,오토,11.6,대형,2359,검정색,0,없음,없음,사고없음,없음,없음,있음,1,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0.3040140389964758
72,기아,k7,2.4 GDI 프레스티지 일반형,22500000,17,69316,가솔린,오토,11.6,대형,2359,검정색,0,없음,없음,사고없음,없음,없음,없음,0,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0.7511138320420259
73,기아,k7,3.0 LPi 럭셔리,19500000,17,53019,LPG,오토,11.6,중형,2999,검정색,0,없음,없음,사고있음,없음,없음,있음,4,보통,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0.3981403112165916
74,기아,k7,3.3 GDI 노블레스,13500000,13,103422,가솔린,오토,10.0,대형,3300,검정색,0,없음,없음,사고있음,없음,없음,없음,4,보통,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.30780673043427687
75,기아,k7,3.0 GDI 프레스티지,7500000,11,126000,가솔린,오토,11.6,대형,3000,검정색,0,없음,없음,사고있음,없음,없음,없음,4,보통,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,-1.0137537720851453
76,기아,k7,2.4 GDI 프레스티지 일반형,22700000,18,39000,가솔린,오토,11.6,대형,2359,검정색,0,없음,없음,사고없음,없음,없음,없음,0,많음,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0.7746454000970547
77,기아,k7,2.2 디젤 프레스티지 일반형 내비게이션 미적용,17600000,16,81365,디젤,오토,11.6,대형,2195,검정색,0,없음,없음,사고있음,없음,없음,있음,2,많음,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0.17459041469381656
78,기아,k7,2.4 GDi 리미티드,18900000,16,77803,가솔린,오토,11.1,대형,0,은색,0,없음,1 건,사고있음,없음,없음,없음,2,많음,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0.32754560705150476
