,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
0,기아,k5,노블레스,11200000,11,125493,하이브리드(가솔린),오토,13.2,중형,1999,검정색,0,없음,없음,사고있음,없음,없음,없음,5,보통,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0.07030871406613354
1,기아,k5,렌터카 2.0 LPI MX 럭셔리,10000000,17,100596,LPG,오토,9.6,중형,1999,검정색,0,없음,없음,사고있음,없음,없음,있음,1,많음,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,-0.1392248581479531
2,기아,k5,2.0 LPI 럭셔리,7700000,13,93632,LPG,오토,13.2,중형,2000,검정색,0,없음,없음,사고있음,없음,없음,없음,2,보통,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,-0.5408308715582858
3,기아,k5,렌터카 2.0 LPI MX 럭셔리,7800000,15,135000,LPG,오토,13.2,중형,0,흰색,0,없음,없음,사고있음,없음,없음,있음,2,많음,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,-0.5233697405404453
4,기아,k5,LPI 디럭스 기본형,8500000,15,60000,LPG,오토,13.2,중형,1999,흰색,0,없음,없음,사고없음,없음,없음,있음,2,짧음,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.40114182341556137
5,기아,k5,렌터카 2.0 LPI SX 프레스티지,11200000,16,105030,LPG,오토,13.2,중형,1999,남색,0,없음,없음,사고있음,없음,없음,있음,1,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.07030871406613354
6,기아,k5,2.0 가솔린 SX 노블레스,9900000,15,155663,가솔린,오토,12.1,중형,0,진주색,0,없음,없음,사고있음,없음,없음,없음,1,많음,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,-0.15668598916579365
7,기아,k5,LPI 디럭스 기본형,9990000,15,90000,LPG,오토,13.2,중형,1999,흰색,0,없음,없음,사고없음,없음,없음,있음,2,보통,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,-0.14097097124973715
8,기아,k5,2.0 LPI 럭셔리,6990000,13,125072,LPG,오토,13.2,중형,1999,검정색,0,없음,없음,사고없음,없음,없음,있음,2,보통,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,-0.6648049017849538
9,기아,k5,가솔린 2.0 스마트 스페셜,6100000,11,95257,가솔린,오토,13.2,중형,2000,은색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.8202089678437346
10,기아,k5,2.0 가솔린 MX 프레스티지,10800000,16,107207,가솔린,오토,12.1,중형,1970,은색,0,없음,없음,사고있음,없음,없음,있음,1,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.0004641899947713189
11,기아,k5,가솔린 2.0 럭셔리,7300000,11,115859,가솔린,오토,13.2,중형,1998,미색,0,없음,없음,사고있음,없음,없음,없음,4,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.610675395629648
12,기아,k5,렌터카 2.0 LPI MX 럭셔리,9490000,15,130496,LPG,오토,13.2,중형,1999,갈색,0,없음,없음,사고있음,없음,없음,있음,7,많음,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.22827662633893991
13,기아,k5,렌터카 2.0 LPI MX 럭셔리,9490000,16,99517,LPG,오토,13.2,중형,1999,은색,0,없음,없음,사고없음,없음,없음,있음,1,많음,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,-0.22827662633893991
14,기아,k5,트렌디,7800000,14,151688,가솔린,오토,13.2,중형,1999,은색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,-0.5233697405404453
15,기아,k5,렌터카 2.0 LPI SX 럭셔리,11600000,16,81000,LPG,오토,13.2,중형,1998,진주색,0,없음,없음,사고있음,없음,없음,있음,1,많음,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.14015323813749575
16,기아,k5,2.0 LPI 프레스티지,7600000,10,143060,LPG,오토,13.2,중형,1999,회색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5582920025761263
