,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
0,르노삼성,SM5,6700000,15,92385,가솔린,오토,12.7,중형,1998,은색,0,없음,없음,사고있음,없음,없음,있음,1,많음,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0.9388650498957016
1,르노삼성,SM5,2300000,8,141845,가솔린,오토,12.7,중형,1998,메탈릭실버,0,없음,없음,사고있음,없음,없음,없음,2,짧음,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,-0.887538482468444
2,르노삼성,SM5,4090000,11,153996,가솔린,오토,12.7,중형,1999,흰색,0,없음,없음,사고있음,없음,없음,없음,6,보통,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.14452431816575753
3,르노삼성,SM5,5300000,14,147981,가솔린,오토,12.7,중형,1998,검정색,0,없음,없음,사고없음,없음,없음,있음,1,많음,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0.35773665323438253
4,르노삼성,SM5,2500000,9,76289,가솔린,오토,12.7,중형,1998,흰색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,-0.8045201400882557
5,르노삼성,SM5,1800000,5,99192,LPG,오토,12.7,중형,1998,검정,0,없음,없음,사고있음,20160207,없음,없음,1,짧음,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,-1.095084338418915
6,르노삼성,SM5,3200000,13,237577,LPG,오토,12.7,중형,1998,은색,0,없음,없음,사고있음,없음,없음,있음,4,많음,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,-0.5139559417575961
7,르노삼성,SM5,5900000,15,140116,디젤,오토,16.5,중형,2000,흰색,0,없음,없음,사고있음,없음,없음,있음,1,많음,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.6067916803749479
8,르노삼성,SM5,1400000,8,224054,가솔린,오토,12.7,중형,2000,검정,0,없음,없음,사고있음,없음,없음,없음,1,많음,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,-1.261121023179292
9,르노삼성,SM5,1700000,6,106446,가솔린,오토,12.7,중형,2000,검정,0,없음,없음,사고있음,없음,없음,없음,5,짧음,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,-1.1365935096090094
