,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
28,쌍용,코란도,19990000,19,7711,디젤,오토,14.1,SUV,1597,자주색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.8493576108720389
29,쌍용,코란도,15800000,16,112938,디젤,오토,12.0,트럭,2157,흰색,0,없음,없음,사고있음,없음,없음,없음,2,많음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1.0050028843845422
30,쌍용,코란도,8700000,14,140660,디젤,오토,11.6,SUV,1998,다크그레이,0,없음,없음,사고있음,없음,없음,없음,1,많음,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-0.4257652678973733
31,쌍용,코란도,9500000,13,159200,디젤,오토,12.0,트럭,0,흰색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26455195496419975
32,쌍용,코란도,10900000,12,97000,디젤,오토,12.0,트럭,2000,흰색,0,없음,없음,사고없음,없음,없음,없음,5,짧음,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0.017571342668854028
34,쌍용,코란도,8700000,14,60400,디젤,수동,12.0,SUV,2000,흰색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.4257652678973733
35,쌍용,코란도,5300000,11,107000,디젤,오토,12.0,SUV,1998,회색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-1.1109218478633611
36,쌍용,코란도,12900000,14,72920,디젤,오토,12.0,트럭,1998,검정색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.42060462500178797
37,쌍용,코란도,4000000,11,176972,디젤,오토,12.0,SUV,1998,은색,0,없음,없음,사고있음,없음,없음,없음,2,보통,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,-1.3728934813797682
38,쌍용,코란도,13200000,15,54331,디젤,오토,12.0,트럭,1998,쥐색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4810596173517281
39,쌍용,코란도,8750000,13,70000,디젤,오토,11.6,SUV,1998,흰색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,-0.41568943583905
40,쌍용,코란도,11500000,12,92747,디젤,오토,12.0,트럭,1998,검정색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13848132736873422
41,쌍용,코란도,10700000,15,80406,디젤,오토,13.3,SUV,2000,흰색,0,없음,없음,사고있음,없음,없음,없음,0,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,-0.022731985564439366
