,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
27,기아,카니발,그랜드카니발 GLX 기본형,7900000,11,66758,디젤,오토,10.7,RV,0,은색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.87682162017531
28,기아,카니발,9인승 2.2 디젤 하이리무진 노블레스,26900000,16,125000,디젤,오토,10.3,RV,2199,흰색,0,없음,없음,사고있음,없음,없음,있음,2,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8965790387494676
29,기아,카니발,그랜드카니발 GLX 최고급형,7300000,13,184349,디젤,오토,10.7,RV,2199,진주색,0,없음,없음,사고있음,없음,없음,없음,3,많음,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,-0.9328237462466187
30,기아,카니발,9인승 2.2 디젤 럭셔리,14000000,14,186192,디젤,오토,10.3,RV,2200,흰색,0,없음,없음,사고있음,없음,없음,있음,5,많음,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,-0.3074666717836708
31,기아,카니발,LPI GLX 기본형,6600000,8,172768,LPG,오토,10.7,RV,0,갈색,0,없음,없음,사고있음,없음,없음,없음,6,보통,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.998159559996479
32,기아,카니발,GX 고급형,2300000,7,181920,디젤,오토,10.7,RV,2656,은색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3995081301741918
33,기아,카니발,그랜드카니발 GLX R 스페셜,7700000,11,150110,디젤,오토,10.7,RV,2199,흰색,0,없음,없음,사고있음,없음,없음,없음,0,보통,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,-0.8954889955324129
34,기아,카니발,9인승 2.2 디젤 노블레스,18600000,16,135844,디젤,오토,10.9,RV,2199,검정,0,없음,없음,사고없음,없음,없음,있음,1,많음,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0.1218829614296964
35,기아,카니발,그랜드카니발 GLX 고급형,8500000,13,131000,디젤,오토,10.7,RV,2199,은색,0,없음,없음,사고없음,없음,없음,없음,1,보통,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.8208194941040011
36,기아,카니발,9인승 2.2 디젤 하이리무진 프레스티지,36500000,15,37698,디젤,오토,10.3,RV,2199,흰색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7926130558904079
37,기아,카니발,그랜드카니발 GLX R 스페셜,9500000,11,96845,디젤,오토,10.7,RV,0,진주색,0,없음,1 건,사고있음,없음,없음,없음,5,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7274826173184865
38,기아,카니발,뉴카니발 리무진 GLX 최고급형,10300000,14,166000,디젤,오토,11.3,RV,0,은색,0,없음,없음,사고있음,없음,없음,있음,1,많음,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,-0.6528131158900748
39,기아,카니발,9인승 2.2 디젤 럭셔리,16700000,16,112200,디젤,오토,10.3,RV,0,흰색,0,없음,없음,사고있음,없음,없음,있음,2,많음,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,-0.05545710446278136
40,기아,카니발,뉴카니발 GLX 최고급형,7400000,13,207494,디젤,오토,11.3,RV,0,흰색,0,없음,없음,사고없음,없음,없음,없음,2,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9234900585680672
41,기아,카니발,그랜드카니발 GLX 고급형,5700000,11,157038,디젤,오토,10.7,RV,0,흰색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1.082162749103442
42,기아,카니발,9인승 2.2 디젤 프레스티지,19900000,15,98289,디젤,오토,11.2,RV,0,회색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.2432209012508654
43,기아,카니발,GX 그랜드 팩,5500000,9,135285,디젤,오토,10.7,RV,0,은색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.100830124460545
