,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
22,기아,봉고3,1톤 초장축 더블캡 CRDi DLX GX,3700000,8,285000,디젤,수동,9.1,트럭,2200,파랑색,0,없음,없음,사고있음,없음,없음,없음,5,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1206100999874649
23,기아,봉고3,1.2톤 냉동탑차 초장축 표준형 표준캡 프레스티지,5300000,10,42970,디젤,수동,9.1,트럭,2902,흰색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.8481836355822889
24,기아,봉고3,1톤 초장축 더블캡 CRDi DLX DLX,8400000,15,58617,디젤,수동,9.1,트럭,0,흰색,0,없음,1 건,사고있음,없음,없음,없음,2,짧음,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,-0.3203573607972604
25,기아,봉고3,1톤 초장축 더블캡 CRDi DLX GX 스페셜,5700000,13,289273,디젤,오토,9.1,트럭,2500,흰색,0,없음,없음,사고있음,없음,없음,없음,0,많음,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.780077019480995
26,기아,봉고3,1톤 내장탑차Ⅱ 초장축 미닫이 킹캡 럭셔리,7300000,14,199264,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고있음,없음,없음,있음,4,많음,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,-0.5076505550758189
27,기아,봉고3,1.2톤 초장축 킹캡 CRDi GLX,9800000,12,65000,디젤,수동,9.1,트럭,2200,파랑색,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08198420444273136
28,기아,봉고3,1톤 초장축 킹캡 CRDi DLX DLX,2690000,6,230000,디젤,수동,9.1,트럭,2500,흰색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2925793056432324
29,기아,봉고3,1톤 내장탑차 킹캡 하이탑,3790000,11,200000,디젤,수동,9.1,트럭,2500,흰색,0,없음,없음,사고있음,없음,없음,있음,8,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.105286111364674
30,기아,봉고3,1톤 카고,10290000,16,120000,디젤,수동,9.1,트럭,2500,흰색,0,없음,없음,사고없음,없음,없음,없음,1,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014464002813538081
31,기아,봉고3,1톤 초장축 표준캡 CRDi,2000000,4,230804,디젤,수동,9.1,트럭,2497,파랑색,0,없음,없음,사고없음,없음,없음,없음,4,보통,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.4100632184179644
32,기아,봉고3,1톤 장축 더블캡 CRDi GX,4500000,11,204822,디젤,수동,9.1,트럭,0,초록색,0,없음,없음,사고있음,없음,없음,없음,5,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9843968677848769
33,기아,봉고3,1톤 내장탑차 LTD,15800000,18,7359,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,4,짧음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.9396150370766788
34,기아,봉고3,4WD 장축 더블캡 LTD LTD,8300000,12,68523,디젤,수동,9.1,트럭,2497,파랑색,0,없음,없음,사고있음,없음,없음,없음,4,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3373840148225839
35,기아,봉고3,1톤 초장축 더블캡 CRDi 럭셔리,11000000,15,61036,디젤,수동,9.1,트럭,2500,흰색,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12233564386115067
36,기아,봉고3,1.2톤 초장축 표준캡 CRDi 프레스티지,10900000,16,101896,디젤,수동,9.1,트럭,2000,파랑색,0,없음,없음,사고없음,없음,없음,없음,1,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10530898983582716
37,기아,봉고3,1톤 프리미엄 와이드 트럭 킹캡 초장축 디럭스,5200000,11,133224,LPG,수동,9.1,특수,1998,파랑색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8652102896076125
38,기아,봉고3,1톤 초장축 킹캡 CRDi,2800000,9,298757,디젤,수동,9.1,트럭,2957,파랑색,0,없음,없음,사고없음,없음,없음,없음,3,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2738499862153765
39,기아,봉고3,1톤 냉동탑차 초장축 플러스형 킹캡 디럭스 듀얼펌프,13600000,18,58080,디젤,수동,9.1,트럭,2500,흰색,0,없음,없음,사고없음,없음,없음,있음,2,많음,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.5650286485195617
40,기아,봉고3,1톤 냉동탑차 초장축 표준형 킹캡 럭셔리,6990000,13,111759,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,0,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5604331825543217
