,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
26,현대,아반떼,7200000,14,85000,디젤,오토,14.3,준중형,1598,검정,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20330323349054086
27,현대,아반떼,7300000,13,80819,가솔린,오토,13.9,준중형,1591,검정색,0,없음,없음,사고있음,없음,없음,없음,4,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,-0.17810496012940347
28,현대,아반떼,12900000,17,40000,가솔린,오토,13.7,준중형,1591,흰색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1.2329983480942908
29,현대,아반떼,7900000,14,106498,디젤,오토,14.3,준중형,0,흰색,0,없음,없음,사고있음,없음,없음,있음,4,보통,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,-0.026915319962579072
30,현대,아반떼,12500000,16,64000,가솔린,오토,12.0,준중형,0,흰색,0,없음,없음,사고있음,없음,없음,없음,0,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1322052546497412
31,현대,아반떼,2800000,6,149822,가솔린,오토,14.3,준중형,1591,은색,0,없음,없음,사고없음,없음,없음,없음,2,짧음,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1.3120272613805863
32,현대,아반떼,10500000,15,65065,디젤,오토,14.3,준중형,1591,흰색,0,없음,없음,사고없음,없음,없음,없음,0,보통,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0.6282397874269933
33,현대,아반떼,7490000,16,81480,LPG,오토,14.3,준중형,1591,회색,0,없음,없음,사고있음,없음,없음,있음,1,많음,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,-0.1302282407432424
34,현대,아반떼,3400000,8,124804,가솔린,오토,14.3,준중형,1591,은색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1.1608376212137619
35,현대,아반떼,6500000,13,167415,가솔린,오토,14.3,준중형,1591,흰색,0,없음,없음,사고있음,없음,없음,없음,3,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,-0.37969114701850265
36,현대,아반떼,4300000,12,187748,가솔린,오토,14.3,준중형,1591,검정색,0,없음,없음,사고있음,없음,없음,없음,1,많음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,-0.9340531609635253
