,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
27,현대,쏘나타,4190000,9,74942,가솔린,오토,12.5,중형,1998,은색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-0.7376401224417772
28,현대,쏘나타,8900000,16,127697,LPG,오토,12.5,중형,1999,은색,0,없음,없음,사고있음,없음,없음,있음,1,많음,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0.05492907419962134
29,현대,쏘나타,2100000,5,168383,가솔린,오토,12.5,중형,1998,은색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,-1.0893321863442236
30,현대,쏘나타,6800000,12,158260,가솔린,오토,11.9,중형,1999,검정색,0,없음,없음,사고있음,없음,없음,없음,5,많음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.2984457268506837
32,현대,쏘나타,3550000,9,68000,가솔린,오토,12.5,중형,1998,검정색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.8453352999047273
33,현대,쏘나타,3500000,8,194268,LPG,오토,12.5,중형,1998,은색,0,없음,없음,사고있음,없음,없음,있음,9,보통,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,-0.8537489856440202
34,현대,쏘나타,13900000,17,86431,가솔린,오토,12.5,중형,1999,흰색,0,없음,없음,사고없음,없음,없음,있음,1,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.8962976481289191
35,현대,쏘나타,2500000,9,130000,가솔린,오토,12.5,중형,1998,연하늘색,0,없음,없음,사고없음,없음,없음,있음,5,짧음,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-1.0220227004298799
36,현대,쏘나타,11800000,16,99152,가솔린,오토,12.6,중형,1999,흰색,0,없음,없음,사고있음,없음,없음,있음,1,많음,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0.542922847078614
37,현대,쏘나타,10500000,15,79728,가솔린,오토,12.6,중형,2000,검정색,0,없음,없음,사고있음,없음,없음,있음,3,보통,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0.32416701785699664
38,현대,쏘나타,6300000,10,94710,가솔린,오토,12.5,중형,1998,흰색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,-0.3825825842436135
39,현대,쏘나타,4000000,10,152030,가솔린,오토,12.5,중형,1998,흰색,0,없음,없음,사고있음,없음,없음,없음,2,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,-0.7696121282510905
40,현대,쏘나타,2500000,7,180000,디젤,수동,12.5,중형,2000,은색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0220227004298799
