,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
24,현대,포터2,6900000,12년10월(13년형),"105,000km",디젤,수동,정보없음,트럭,"1,999cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,현대,포터2,6300000,11년01월(11년형),"146,000km",디젤,수동,정보없음,트럭,"2,489cc",파랑색,없음,없음,없음,사고없음,없음,없음,없음,3회,보통,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,현대,포터2,18990000,18년06월(18년형),"50,700km",디젤,수동,정보없음,트럭,"2,359cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,많음,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
27,현대,포터2,6500000,12년12월(13년형),"153,000km",디젤,수동,정보없음,트럭,"2,500cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,현대,포터2,14300000,17년08월(18년형),"26,750km",디젤,오토,정보없음,트럭,0cc,흰색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
29,현대,포터2,12800000,17년08월(18년형),"165,622km",디젤,오토,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,많음,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
30,현대,포터,11700000,14년02월(14년형),"34,991km",디젤,수동,정보없음,트럭,"2,476cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,7회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,현대,포터,16900000,15년05월(16년형),"50,000km",디젤,수동,정보없음,트럭,"2,497cc",빨강,없음,없음,없음,사고있음,없음,없음,없음,4회,짧음,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,현대,포터2,8200000,14년05월(15년형),"153,883km",디젤,수동,정보없음,트럭,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
33,현대,포터2,7200000,12년11월(13년형),"145,721km",디젤,수동,정보없음,트럭,0cc,흰색,정보없음,없음,1 건,사고있음,없음,없음,있음,6회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,현대,포터2,5100000,11년02월(11년형),"215,919km",디젤,수동,정보없음,트럭,0cc,초록색,정보없음,없음,없음,사고있음,없음,없음,없음,4회,많음,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,현대,포터2,5500000,12년11월(13년형),"133,241km",디젤,수동,정보없음,트럭,"2,497cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
36,현대,포터2,8300000,11년09월(12년형),"38,272km",디젤,수동,정보없음,트럭,"2,497cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,현대,포터2,9700000,13년05월(14년형),"98,462km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,보통,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,현대,포터2,4900000,07년06월(07년형),"196,365km",디젤,수동,정보없음,트럭,"2,500cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
39,현대,포터2,3800000,04년02월(04년형),"93,615km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,8회,짧음,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,현대,포터2,11000000,14년10월(15년형),"96,230km",디젤,오토,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
41,현대,포터2,6300000,12년12월(13년형),"177,826km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
