,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
0,르노삼성,SM5 노바,6700000,15년02월(15년형),"92,385km",가솔린,오토,정보없음,중형,"1,998cc",은색,정보없음,없음,없음,사고있음,없음,없음,있음,1회,많음,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
1,르노삼성,SM5 뉴임프레션,2300000,08년12월(09년형),"141,845km",가솔린,오토,정보없음,중형,"1,998cc",메탈릭실버,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
2,르노삼성,뉴SM5(신형),4090000,11년01월(11년형),"153,996km",가솔린,오토,정보없음,중형,"1,999cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,6회,보통,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
3,르노삼성,뉴SM5 플래티넘,5300000,14년03월(14년형),"147,981km",가솔린,오토,정보없음,중형,"1,998cc",검정색,없음,없음,없음,사고없음,없음,없음,있음,1회,많음,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
4,르노삼성,SM5 뉴임프레션,2500000,09년10월(10년형),"76,289km",가솔린,오토,정보없음,중형,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
5,르노삼성,뉴SM5,1800000,05년12월(05년형),"99,192km",LPG,오토,정보없음,중형,"1,998cc",검정,없음,없음,없음,사고있음,20160207,없음,없음,1회,짧음,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
6,르노삼성,뉴SM5 플래티넘,3200000,13년08월(13년형),"237,577km",LPG,오토,정보없음,중형,"1,998cc",은색,없음,없음,없음,사고있음,없음,없음,있음,4회,많음,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
7,르노삼성,SM5 노바,5900000,15년06월(15년형),"140,116km",디젤,오토,16.5Km,중형,"2,000cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,1회,많음,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
8,르노삼성,SM5 뉴임프레션,1400000,08년04월(08년형),"224,054km",가솔린,오토,정보없음,중형,"2,000cc",검정,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
9,르노삼성,뉴SM5,1700000,06년07월(06년형),"106,446km",가솔린,오토,정보없음,중형,"2,000cc",검정,없음,없음,없음,사고있음,없음,없음,없음,5회,짧음,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
10,르노삼성,뉴SM5,1000000,06년03월(06년형),"310,296km",가솔린,오토,정보없음,중형,"2,000cc",은색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
11,르노삼성,SM5,2000000,02년09월(02년형),"137,000km",가솔린,오토,정보없음,중형,"1,995cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,르노삼성,SM5 뉴임프레션,2900000,09년05월(09년형),"80,000km",가솔린,오토,정보없음,중형,"1,998cc",은색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
13,르노삼성,SM5,1600000,05년03월(05년형),"182,013km",가솔린,오토,정보없음,중형,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,르노삼성,SM5,500000,02년05월(02년형),"102,191km",가솔린,오토,정보없음,중형,"2,495cc",진주색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
15,르노삼성,SM5,1600000,04년01월(04년형),"138,175km",가솔린,오토,정보없음,중형,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
16,르노삼성,뉴SM5,2300000,06년01월(06년형),"195,392km",LPG,오토,정보없음,중형,"1,998cc",은색,없음,없음,없음,사고있음,없음,없음,있음,6회,보통,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
17,르노삼성,뉴SM5(신형),3400000,11년03월(11년형),"122,000km",가솔린,오토,정보없음,중형,"2,000cc",은색,없음,없음,없음,사고있음,없음,없음,있음,2회,보통,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1
18,르노삼성,SM5 뉴임프레션,2300000,07년07월(08년형),"90,000km",가솔린,오토,정보없음,중형,"1,998cc",은색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,르노삼성,SM5 뉴임프레션,2300000,08년02월(08년형),"90,000km",가솔린,오토,정보없음,중형,"1,998cc",검정,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,르노삼성,뉴SM5,2400000,07년01월(07년형),"152,083km",가솔린,오토,정보없음,중형,"2,000cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
21,르노삼성,SM5 뉴임프레션,2800000,08년07월(09년형),"168,433km",가솔린,오토,정보없음,중형,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
22,르노삼성,SM5,1300000,02년06월(02년형),"113,453km",가솔린,오토,정보없음,중형,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,5회,짧음,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
23,르노삼성,뉴SM5(신형),7300000,12년05월(12년형),"76,648km",LPG,오토,정보없음,중형,"1,998cc",은색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
24,르노삼성,뉴SM5 플래티넘,6900000,13년11월(14년형),"109,289km",LPG,CVT,정보없음,중형,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,5회,보통,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
25,르노삼성,SM5 뉴임프레션,3500000,08년06월(08년형),"183,254km",가솔린,오토,정보없음,중형,"1,998cc",검정,없음,없음,1 건,사고있음,없음,없음,없음,4회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,르노삼성,SM5 뉴임프레션,2900000,09년09월(09년형),"157,412km",LPG,오토,정보없음,중형,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
27,르노삼성,뉴SM5(신형),4300000,10년02월(10년형),"109,300km",가솔린,오토,정보없음,중형,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0
28,르노삼성,SM5 뉴임프레션,3300000,08년01월(08년형),"186,095km",LPG,오토,정보없음,중형,"1,998cc",진주색,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
29,르노삼성,뉴SM5(신형),2900000,10년12월(11년형),"140,900km",LPG,오토,정보없음,중형,"2,000cc",검정색,없음,없음,없음,사고있음,20110725,없음,없음,4회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,르노삼성,SM5 노바,7900000,15년05월(15년형),"70,000km",가솔린,오토,12.6Km,중형,"1,999cc",검정색,없음,없음,없음,사고없음,없음,없음,없음,없음,보통,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
31,르노삼성,뉴SM5,1900000,06년04월(06년형),"129,080km",가솔린,오토,정보없음,중형,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,9회,짧음,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
32,르노삼성,뉴SM5(신형),4500000,10년01월(10년형),"144,967km",가솔린,오토,정보없음,중형,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,5회,보통,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
33,르노삼성,SM5,1000000,01년09월(01년형),"186,360km",가솔린,오토,정보없음,중형,"1,838cc",검정,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,르노삼성,뉴SM5,1100000,06년07월(06년형),"225,821km",가솔린,오토,정보없음,중형,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,3회,보통,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
35,르노삼성,SM5,1600000,02년06월(02년형),"144,752km",가솔린,오토,정보없음,중형,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,4회,짧음,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
36,르노삼성,뉴SM5 플래티넘,6990000,13년04월(13년형),"111,218km",가솔린,오토,정보없음,중형,"1,998cc",쥐색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
37,르노삼성,SM5 노바,6700000,16년01월(16년형),"130,000km",가솔린,오토,정보없음,중형,"2,000cc",검정색,없음,없음,없음,사고있음,없음,없음,있음,2회,많음,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1
38,르노삼성,SM5 뉴임프레션,2900000,09년01월(09년형),"149,917km",가솔린,오토,정보없음,중형,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,르노삼성,SM5 노바,8600000,16년03월(16년형),"60,764km",LPG,오토,정보없음,중형,"1,999cc",검정색,없음,없음,없음,사고있음,없음,없음,있음,1회,보통,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
40,르노삼성,SM5 노바,11600000,15년10월(16년형),"80,000km",디젤,오토,정보없음,중형,"1,999cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
41,르노삼성,뉴SM5(신형),2300000,11년01월(11년형),"260,754km",LPG,오토,정보없음,중형,"1,998cc",은색,없음,없음,없음,사고있음,없음,없음,있음,6회,많음,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
