,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
23,쌍용,베리 뉴 티볼리,21200000,20년02월(20년형),302km,가솔린,오토,11.8Km,SUV,"1,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
24,쌍용,티볼리,10500000,15년07월(15년형),"74,351km",가솔린,오토,12.0Km,SUV,"1,497cc",감청,없음,없음,1 건,사고없음,없음,없음,없음,1회,보통,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1
25,쌍용,티볼리,12300000,15년10월(15년형),"37,825km",디젤,오토,15.3Km,SUV,"1,597cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
26,쌍용,티볼리 아머,13990000,17년11월(18년형),"36,580km",디젤,오토,14.2Km,SUV,"1,597cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
27,쌍용,티볼리 아머,16400000,18년07월(18년형),"19,000km",가솔린,오토,14.7Km,SUV,"1,597cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,2회,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
28,쌍용,티볼리,9800000,15년11월(16년형),"65,814km",가솔린,오토,11.4Km,SUV,"1,597cc",빨강색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
29,쌍용,티볼리,10700000,15년11월(16년형),"73,628km",디젤,오토,15.3Km,SUV,"1,600cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
30,쌍용,티볼리 에어,15500000,16년11월(17년형),"16,112km",디젤,오토,13.8Km,SUV,"1,600cc",파랑색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1
31,쌍용,티볼리 아머,13800000,17년10월(18년형),"56,104km",가솔린,오토,14.7Km,SUV,"1,597cc",검붉은색,없음,없음,1 건,사고있음,없음,없음,없음,없음,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,쌍용,티볼리,8900000,16년05월(16년형),"103,245km",디젤,오토,14.5Km,SUV,"1,597cc",은색,없음,없음,없음,사고있음,없음,없음,있음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,쌍용,티볼리,12300000,16년02월(16년형),"56,145km",디젤,오토,15.3Km,SUV,"1,597cc",다크블루,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
34,쌍용,티볼리,8900000,16년06월(16년형),"120,000km",디젤,오토,14.7Km,SUV,"1,600cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,1회,많음,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1
35,쌍용,티볼리 아머,15300000,17년11월(18년형),"34,649km",가솔린,오토,14.7Km,SUV,"1,597cc",검정색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
36,쌍용,티볼리,8900000,15년11월(16년형),"125,274km",디젤,오토,15.3Km,SUV,"1,600cc",갈색,없음,없음,없음,사고있음,없음,없음,없음,3회,많음,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
37,쌍용,티볼리 에어,8850000,16년04월(16년형),"82,825km",디젤,오토,13.8Km,SUV,"1,597cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
38,쌍용,티볼리,14500000,17년04월(17년형),"24,206km",가솔린,오토,정보없음,SUV,"1,597cc",다크블루,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
39,쌍용,티볼리,11900000,15년09월(16년형),"71,375km",디젤,오토,14.7Km,SUV,0cc,파랑색,정보없음,없음,1 건,사고있음,없음,없음,없음,1회,보통,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
40,쌍용,티볼리 아머,13600000,18년06월(18년형),"31,000km",가솔린,오토,14.7Km,SUV,"1,600cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,없음,보통,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
41,쌍용,티볼리,11700000,16년06월(16년형),"35,094km",가솔린,오토,11.4Km,SUV,"1,597cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
42,쌍용,티볼리,12500000,15년01월(15년형),"86,711km",가솔린,오토,12.0Km,SUV,0cc,흰색,정보없음,없음,1 건,사고있음,없음,없음,없음,5회,보통,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
43,쌍용,티볼리 아머,16000000,17년09월(18년형),"29,549km",가솔린,오토,11.4Km,SUV,"1,597cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,쌍용,티볼리 에어,10990000,16년11월(17년형),"95,770km",디젤,오토,10.8Km,SUV,0cc,흰색,정보없음,없음,없음,사고없음,없음,없음,있음,1회,많음,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
45,쌍용,티볼리 아머,12100000,17년07월(18년형),"62,162km",가솔린,오토,11.4Km,SUV,"1,598cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,1회,많음,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
46,쌍용,티볼리 아머,14600000,18년02월(18년형),"31,709km",가솔린,오토,11.4Km,SUV,"1,597cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,2회,보통,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1
47,쌍용,티볼리,13000000,17년03월(17년형),"8,171km",가솔린,오토,11.4Km,SUV,"1,600cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,2회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
